pathogen,yob,province,n,vacage_group,anyshot,shots_1,shots_2,shots_3,shots_4,coverage
Tuberculosis,2014,An Giang,23277,(0-1y],9705,9687,18,0,0,0.4169351720582549
Tuberculosis,2014,An Giang,23277,all,9761,9742,19,0,0,0.4193409803668858
Tuberculosis,2014,Bà Rịa - Vũng Tàu,24138,(0-1y],14568,14475,91,2,0,0.6035297042008452
Tuberculosis,2014,Bà Rịa - Vũng Tàu,24138,all,14634,14541,91,2,0,0.6062639821029083
Tuberculosis,2014,Bình Dương,18050,(0-1y],1176,1170,6,0,0,0.06515235457063712
Tuberculosis,2014,Bình Dương,18050,all,1201,1195,6,0,0,0.06653739612188365
Tuberculosis,2014,Bình Phước,5741,(0-1y],870,868,2,0,0,0.15154154328514197
Tuberculosis,2014,Bình Phước,5741,all,887,885,2,0,0,0.15450269987807003
Tuberculosis,2014,Bình Thuận,7097,(0-1y],365,362,3,0,0,0.05143018176694378
Tuberculosis,2014,Bình Thuận,7097,all,382,379,3,0,0,0.053825560095815135
Tuberculosis,2014,Bình Định,125,(0-1y],16,16,0,0,0,0.128
Tuberculosis,2014,Bình Định,125,all,17,17,0,0,0,0.136
Tuberculosis,2014,Bạc Liêu,9164,(0-1y],6362,6302,59,1,0,0.6942383238760367
Tuberculosis,2014,Bạc Liêu,9164,all,6397,6336,60,1,0,0.6980576167612397
Tuberculosis,2014,Bắc Giang,19658,(0-1y],1227,1221,6,0,0,0.062417336453352325
Tuberculosis,2014,Bắc Giang,19658,all,1245,1239,6,0,0,0.06333299420083427
Tuberculosis,2014,Bắc Kạn,939,(0-1y],317,316,1,0,0,0.33759318423855167
Tuberculosis,2014,Bắc Kạn,939,all,321,320,1,0,0,0.34185303514376997
Tuberculosis,2014,Bắc Ninh,4435,(0-1y],1034,1033,1,0,0,0.2331454340473506
Tuberculosis,2014,Bắc Ninh,4435,all,1047,1046,1,0,0,0.23607666290868096
Tuberculosis,2014,Bến Tre,1402,(0-1y],201,201,0,0,0,0.1433666191155492
Tuberculosis,2014,Bến Tre,1402,all,203,203,0,0,0,0.14479315263908701
Tuberculosis,2014,Cao Bằng,5035,(0-1y],1048,1047,1,0,0,0.20814299900695135
Tuberculosis,2014,Cao Bằng,5035,all,1070,1069,1,0,0,0.21251241310824232
Tuberculosis,2014,Cà Mau,5247,(0-1y],786,786,0,0,0,0.14979988564894225
Tuberculosis,2014,Cà Mau,5247,all,803,802,1,0,0,0.1530398322851153
Tuberculosis,2014,Cần Thơ,6562,(0-1y],1658,1653,5,0,0,0.25266686985675096
Tuberculosis,2014,Cần Thơ,6562,all,1689,1684,5,0,0,0.2573910393172813
Tuberculosis,2014,Gia Lai,9038,(0-1y],1552,1549,3,0,0,0.17171940694843993
Tuberculosis,2014,Gia Lai,9038,all,1580,1577,3,0,0,0.1748174374861695
Tuberculosis,2014,Hà Giang,11594,(0-1y],592,592,0,0,0,0.0510608935656374
Tuberculosis,2014,Hà Giang,11594,all,627,627,0,0,0,0.054079696394686905
Tuberculosis,2014,Hà Nam,4107,(0-1y],207,207,0,0,0,0.050401753104455806
Tuberculosis,2014,Hà Nam,4107,all,213,213,0,0,0,0.05186267348429511
Tuberculosis,2014,Hà Nội,157021,(0-1y],33315,33195,120,0,0,0.21216907292655124
Tuberculosis,2014,Hà Nội,157021,all,33518,33391,127,0,0,0.21346189363206194
Tuberculosis,2014,Hà Tĩnh,9509,(0-1y],355,354,1,0,0,0.037333052897255234
Tuberculosis,2014,Hà Tĩnh,9509,all,365,364,1,0,0,0.038384688190135664
Tuberculosis,2014,Hoà Bình,4230,(0-1y],1197,1197,0,0,0,0.28297872340425534
Tuberculosis,2014,Hoà Bình,4230,all,1214,1214,0,0,0,0.28699763593380617
Tuberculosis,2014,Hưng Yên,3780,(0-1y],953,951,2,0,0,0.2521164021164021
Tuberculosis,2014,Hưng Yên,3780,all,981,979,2,0,0,0.25952380952380955
Tuberculosis,2014,Hải Dương,18152,(0-1y],2212,2200,12,0,0,0.12185985015425298
Tuberculosis,2014,Hải Dương,18152,all,2279,2265,14,0,0,0.12555090348171
Tuberculosis,2014,Hải Phòng,5262,(0-1y],381,380,1,0,0,0.07240592930444698
Tuberculosis,2014,Hải Phòng,5262,all,388,387,1,0,0,0.07373622196883314
