pathogen,yob,n,vacage_group,anyshot,shots_1,shots_2,shots_3,shots_4,coverage
Tuberculosis,2014,1713342,(0-1y],417418,415644,1752,20,2,0.24362795052009464
Tuberculosis,2014,1713342,all,421222,419340,1860,20,2,0.24584817275243354
Diptheria,2014,1713342,(0-1y],456868,29562,47992,373836,4982,0.2666531258791298
Diptheria,2014,1713342,all,637954,178608,37930,92114,313800,0.37234480915077084
Hepatitis B,2014,1713342,(0-1y],458552,27776,34182,211538,183646,0.2676360002848235
Hepatitis B,2014,1713342,all,555430,99528,41390,212052,187846,0.3241792940346994
Haemophilus influenzae type b,2014,1713342,(0-1y],456264,29510,50108,375192,986,0.26630059847946297
Haemophilus influenzae type b,2014,1713342,all,515212,79152,45882,371130,17850,0.300705871915823
Japanese Encephalitis,2014,1713342,(0-1y],23240,15692,7454,92,2,0.013564133722280783
Japanese Encephalitis,2014,1713342,all,843444,199744,124668,483110,33538,0.4922800001400771
Measles,2014,1713342,(0-1y],467290,462086,5176,28,0,0.2727359744872886
Measles,2014,1713342,all,1264616,739664,292456,207364,22794,0.7380989901607502
Mumps,2014,1435818,(0-1y],5768,5732,34,2,0,0.0040172222384731214
Mumps,2014,1713342,all,213430,185940,26284,1164,38,0.12456940879287381
Meningococcus,2014,1113036,(0-1y],990,690,300,0,0,8.894591010533352e-4
Meningococcus,2014,1713342,all,151850,98392,38042,13244,2128,0.088627956356641
Rubella,2014,1711404,(0-1y],11440,11386,52,2,0,0.006684570095664145
Rubella,2014,1713342,all,1188088,890176,267300,27950,2566,0.693433068237398
Streptococcus pneumoniae,2014,1395268,(0-1y],1394,688,616,86,4,9.990912140176655e-4
Streptococcus pneumoniae,2014,1713342,all,111756,94256,15306,2020,162,0.0652269074125306
Tuberculosis,2015,3330830,(0-1y],2462220,2444464,17456,294,6,0.7392211550874707
Tuberculosis,2015,3330830,all,2475402,2456826,18252,318,6,0.7431787272241454
Diptheria,2015,3330830,(0-1y],2679630,209450,424516,2009260,26072,0.8044931743739548
Diptheria,2015,3330830,all,2817406,228922,248012,607870,1680294,0.8458570386360157
Hepatitis B,2015,3330830,(0-1y],2719534,171520,293798,1294102,940448,0.816473371501998
Hepatitis B,2015,3330830,all,2787206,197998,276392,1288460,956672,0.8367902294623262
Haemophilus influenzae type b,2015,3330830,(0-1y],2678980,211538,438216,2007392,11670,0.804298027818892
Haemophilus influenzae type b,2015,3330830,all,2732702,228756,410360,2005872,74754,0.8204267404821021
Japanese Encephalitis,2015,3330830,(0-1y],82032,59770,22134,124,4,0.0246280956998706
Japanese Encephalitis,2015,3330830,all,2624388,297158,470664,1768780,73004,0.787908118997367
Measles,2015,3330830,(0-1y],2141018,2114622,26166,230,0,0.6427881338885503
Measles,2015,3330830,all,2851128,826770,1358342,607096,50370,0.8559812419126764
Mumps,2015,3083836,(0-1y],7638,7572,66,0,0,0.002476785406227828
Mumps,2015,3330830,all,284610,245580,37020,1972,34,0.0854471708252898
Meningococcus,2015,2895832,(0-1y],2880,1848,1026,6,0,9.94532832015117e-4
Meningococcus,2015,3330830,all,194008,121612,52120,17420,2822,0.05824614285328281
Rubella,2015,3330266,(0-1y],24106,23992,114,0,0,0.007238460831657291
Rubella,2015,3330830,all,2365062,1662044,645100,51438,6258,0.7100518489385529
Streptococcus pneumoniae,2015,3254121,(0-1y],10946,4226,3880,2640,196,0.0033637347842935157
Streptococcus pneumoniae,2015,3330830,all,159958,121040,30164,6184,2378,0.048023465622682636
Tuberculosis,2016,3367910,(0-1y],2551230,2530620,20378,218,14,0.7575113349228453
Tuberculosis,2016,3367910,all,2556982,2535796,20946,226,14,0.7592192190408888
Diptheria,2016,3367910,(0-1y],2821896,230628,465386,2093380,19648,0.8378774967264565
Diptheria,2016,3367910,all,2963538,251402,283114,738952,1629658,0.8799338462132301
Hepatitis B,2016,3367910,(0-1y],2849740,190474,317142,1305488,1010676,0.846144938552396
Hepatitis B,2016,3367910,all,2922398,216200,307184,1281120,1020238,0.8677185554245809
Haemophilus influenzae type b,2016,3367910,(0-1y],2821122,232312,477610,2081440,17018,0.8376476806090424
Haemophilus influenzae type b,2016,3367910,all,2887044,257734,459384,2020062,132136,0.8572212440356185
Japanese Encephalitis,2016,3367910,(0-1y],94574,76246,18180,144,4,0.02808091665157323
Japanese Encephalitis,2016,3367910,all,2756530,306142,613348,1740904,79538,0.8184690208467565
Measles,2016,3367910,(0-1y],2214508,2195018,19348,140,2,0.6575318224061807
Measles,2016,3367910,all,2879374,797738,1337428,664490,69240,0.8549438672648616
Mumps,2016,3366822,(0-1y],25516,25404,112,0,0,0.007578660232112063
Mumps,2016,3367910,all,416566,342520,69356,4588,94,0.12368679685621053
Meningococcus,2016,3357009,(0-1y],25062,17492,7530,38,2,0.0074655742656632735
Meningococcus,2016,3367910,all,251668,141910,81274,27242,1226,0.07472527472527472
